idx;id;sci_name;com_name;class;order
2976;9991;Melopyrrha nigra;Cuban Bullfinch;Aves;Passeriformes
2977;9994;Melopyrrha violacea;Greater Antillean Bullfinch;Aves;Passeriformes
2978;9995;Melospiza georgiana;Swamp Sparrow;Aves;Passeriformes
2979;9996;Melospiza lincolnii;Lincoln's Sparrow;Aves;Passeriformes
2980;9997;Melospiza melodia;Song Sparrow;Aves;Passeriformes
2981;9998;Melozone aberti;Abert's Towhee;Aves;Passeriformes
2982;10002;Melozone crissalis;California Towhee;Aves;Passeriformes
2983;10003;Melozone fusca;Canyon Towhee;Aves;Passeriformes
2984;10007;Menelikornis leucotis;White-cheeked Turaco;Aves;Musophagiformes
2985;10010;Menetes berdmorei;Indochinese ground squirrel;Mammalia;Rodentia
2986;10020;Mergellus albellus;Smew;Aves;Anseriformes
2987;10021;Mergus merganser;Common Merganser;Aves;Anseriformes
2988;10023;Mergus serrator;Red-breasted Merganser;Aves;Anseriformes
2989;10029;Merops albicollis;White-throated Bee-eater;Aves;Coraciiformes
2990;10031;Merops apiaster;European Bee-eater;Aves;Coraciiformes
2991;10032;Merops boehmi;Böhm's Bee-eater;Aves;Coraciiformes
2992;10034;Merops bullockoides;White-fronted Bee-eater;Aves;Coraciiformes
2993;10035;Merops bulocki;Red-throated Bee-eater;Aves;Coraciiformes
2994;10036;Merops cyanophrys;Arabian Green Bee-eater;Aves;Coraciiformes
2995;10037;Merops gularis;Black Bee-eater;Aves;Coraciiformes
2996;10038;Merops hirundineus;Swallow-tailed Bee-eater;Aves;Coraciiformes
2997;10039;Merops lafresnayii;Ethiopian Bee-eater;Aves;Coraciiformes
2998;10040;Merops leschenaulti;Chestnut-headed Bee-eater;Aves;Coraciiformes
2999;10041;Merops malimbicus;Rosy Bee-eater;Aves;Coraciiformes
3000;10044;Merops nubicoides;Southern Carmine Bee-eater;Aves;Coraciiformes
3001;10045;Merops nubicus;Northern Carmine Bee-eater;Aves;Coraciiformes
3002;10046;Merops oreobates;Cinnamon-chested Bee-eater;Aves;Coraciiformes
3003;10047;Merops orientalis;Asian Green Bee-eater;Aves;Coraciiformes
3004;10048;Merops ornatus;Rainbow Bee-eater;Aves;Coraciiformes
3005;10049;Merops persicus;Blue-cheeked Bee-eater;Aves;Coraciiformes
3006;10050;Merops philippinus;Blue-tailed Bee-eater;Aves;Coraciiformes
3007;10051;Merops pusillus;Little Bee-eater;Aves;Coraciiformes
3008;10053;Merops superciliosus;Olive Bee-eater;Aves;Coraciiformes
3009;10054;Merops variegatus;Blue-breasted Bee-eater;Aves;Coraciiformes
