idx;id;sci_name;com_name;class;order
2907;4914;Cyanolyca pulchra;Beautiful Jay;Aves;Passeriformes
2908;4915;Cyanolyca pumilo;Black-throated Jay;Aves;Passeriformes
2909;4916;Cyanolyca turcosa;Turquoise Jay;Aves;Passeriformes
2910;4917;Cyanolyca viridicyanus;White-collared Jay;Aves;Passeriformes
2911;4918;Cyanomitra alinae;Blue-headed Sunbird;Aves;Passeriformes
2912;4920;Cyanomitra cyanolaema;Blue-throated Brown Sunbird;Aves;Passeriformes
2913;4921;Cyanomitra olivacea;Olive Sunbird;Aves;Passeriformes
2914;4922;Cyanomitra oritis;Cameroon Sunbird;Aves;Passeriformes
2915;4923;Cyanomitra veroxii;Grey Sunbird;Aves;Passeriformes
2916;4924;Cyanomitra verticalis;Green-headed Sunbird;Aves;Passeriformes
2917;4925;Cyanopica cooki;Iberian Magpie;Aves;Passeriformes
2918;4926;Cyanopica cyanus;Azure-winged Magpie;Aves;Passeriformes
2919;4928;Cyanoptila cumatilis;Zappey's Flycatcher;Aves;Passeriformes
2920;4929;Cyanoptila cyanomelana;Blue-and-white Flycatcher;Aves;Passeriformes
2921;4930;Cyanoramphus auriceps;Yellow-crowned Parakeet;Aves;Psittaciformes
2922;4931;Cyanoramphus cookii;Norfolk Parakeet;Aves;Psittaciformes
2923;4933;Cyanoramphus malherbi;Malherbe's Parakeet;Aves;Psittaciformes
2924;4934;Cyanoramphus novaezelandiae;Red-crowned Parakeet;Aves;Psittaciformes
2925;4935;Cyanoramphus saisseti;New Caledonian Parakeet;Aves;Psittaciformes
2926;4937;Cyclarhis gujanensis;Rufous-browed Peppershrike;Aves;Passeriformes
2927;4938;Cyclarhis nigrirostris;Black-billed Peppershrike;Aves;Passeriformes
2928;4939;Cyclochila australasiae;Cyclochila australasiae;Insecta;Hemiptera
2929;4942;Cyclopsitta diophthalma;Double-eyed Fig Parrot;Aves;Psittaciformes
2930;4956;Cycloptilum slossoni;Slossom's scaly cricket;Insecta;Orthoptera
2931;4974;Cygnus atratus;Black Swan;Aves;Anseriformes
2932;4975;Cygnus buccinator;Trumpeter Swan;Aves;Anseriformes
2933;4976;Cygnus columbianus;Tundra Swan;Aves;Anseriformes
2934;4977;Cygnus cygnus;Whooper Swan;Aves;Anseriformes
2935;4978;Cygnus melancoryphus;Black-necked Swan;Aves;Anseriformes
2936;4979;Cygnus olor;Mute Swan;Aves;Anseriformes
2937;4980;Cymbilaimus lineatus;Fasciated Antshrike;Aves;Passeriformes
2938;4981;Cymbilaimus sanctaemariae;Bamboo Antshrike;Aves;Passeriformes
2939;4982;Cymbirhynchus macrorhynchos;Black-and-red Broadbill;Aves;Passeriformes
2940;4983;Cynanthus auriceps;Golden-crowned Emerald;Aves;Apodiformes
2941;4984;Cynanthus canivetii;Canivet's Emerald;Aves;Apodiformes
2942;4985;Cynanthus doubledayi;Turquoise-crowned Hummingbird;Aves;Apodiformes
